,Date,Q
295,1923-07-23,52.8
296,1923-07-24,43.1
297,1923-07-25,52.8
298,1923-07-26,68.1
299,1923-07-27,55.3
300,1923-07-28,40.8
301,1923-07-29,52.8
302,1923-07-30,55.3
303,1923-07-31,38.6
304,1923-08-01,36.4
305,1923-08-02,36.4
306,1923-08-03,30.2
307,1923-08-04,28.2
308,1923-08-05,26.5
309,1923-08-06,62.8
310,1923-08-07,57.0
311,1923-08-08,47.8
312,1923-08-09,38.6
313,1923-08-10,36.4
314,1923-08-11,73.6
315,1923-08-12,15.9
316,1923-08-13,20.9
317,1923-08-14,30.2
318,1923-08-15,36.4
319,1923-08-16,37.5
320,1923-08-17,38.6
321,1923-08-18,39.7
322,1923-08-19,40.8
323,1923-08-20,20.2
324,1923-08-21,34.2
325,1923-08-22,43.1
326,1923-08-23,40.8
327,1923-08-24,34.2
328,1923-08-25,34.2
329,1923-08-26,34.2
330,1923-08-27,52.8
331,1923-08-28,52.8
332,1923-08-29,60.3
333,1923-08-30,68.1
334,1923-08-31,73.6
335,1923-09-01,90.1
336,1923-09-02,68.1
337,1923-09-03,50.3
338,1923-09-04,52.8
339,1923-09-05,57.8
340,1923-09-06,79.1
341,1923-09-07,73.6
342,1923-09-08,57.8
343,1923-09-09,57.8
344,1923-09-10,137.0
345,1923-09-11,102.0
346,1923-09-12,130.0
347,1923-09-13,108.0
348,1923-09-14,90.1
349,1923-09-15,145.0
350,1923-09-16,108.0
351,1923-09-17,95.0
352,1923-09-18,115.0
353,1923-09-19,95.0
354,1923-09-20,130.0
355,1923-09-21,130.0
356,1923-09-22,95.9
357,1923-09-23,73.6
358,1923-09-24,62.8
359,1923-09-25,194.0
360,1923-09-26,84.6
361,1923-09-27,84.6
362,1923-09-28,68.1
363,1923-09-29,57.8
364,1923-09-30,55.3
365,1923-10-01,154.0
366,1923-10-02,135.0
367,1923-10-03,175.0
368,1923-10-04,94.3
369,1923-10-05,70.0
370,1923-10-06,56.4
371,1923-10-07,49.4
372,1923-10-08,42.0
373,1923-10-09,164.0
374,1923-10-10,204.0
375,1923-10-11,149.0
376,1923-10-12,135.0
377,1923-10-13,88.3
